Межрегиональный фестиваль школьных и студенческих медиа-проектов;Социальная
"Конкурс научных и творческих работ в области охраны окружающей среды и экологической безопасности среди аспирантов, студентов и школьников ""Биос-олимпиада 2014""";Научная
"""Мы вместе"" (Создание сводного студенческого отряда для совместной работы на строительном объекте).";Социальная
Проект взаимоподдержки студенчества;Социальная
"""Студенческий дозор"" - повышение правозащитного потенциала студенческих организаций России";Социальная
Российская студенческая весна. Начало;Социальная
"Разработка и опытная эксплуатация мобильного приложения ""Права студента""";Научная
Гармонизация межнациональных отношений - воспитание гражданской идентичности у молодежи.;Социальная
New Economic Starts: спартакиада для студентов и выпускников экономических вузов;Социальная
Я студент – гражданин!;Социальная
Российская студенческая хоккейная лига;Социальная
Программа межвузовского обмена студентами;Учебная
Организация рабочих мест для студентов-стажеров на производственном предприятии;Учебная
Оборонно-спортивная эстафета НИВИТа-НИИЖТа-СГУПСа;Социальная
IV международный турнир по парламентским дебатам «Pro et Contra»;Социальная
Развитие студенческих отрядов Крымского федерального округа (создание линейных студенческих отрядов на базе учебных заведений Крымского федерального округа, трудовая социализация и адптация).;Социальная
"""Единение народов России!"" (создание интернет-площадок, выпуск печатных изданий, проведение семинаров и форумов, направленных  на сближение и усиление взаимной адаптации этнических групп России).";Социальная
Научно-методическое и информационное обеспечение гражданско-патриотического воспитания российского студенчества;Научная
«Народная дипломатия для профилактики конфликтов с участием студентов-дагестанцев» (снижение уровня конфликтности в студенческой среде Краснодарского края, Ростовской области и Республики Адыгея).;Социальная
"Молодёжный фестиваль ""Всероссийский студенческий марафон""";Социальная
"""Учебное пособие «Рисунок тушью» для студентов ВУЗов, обучающихся по направлению «Архитектура», как одно из направлений обучения молодежи познанию русского народного творчества и искусства""";Учебная
Система информирования студентов;Социальная
Молодежное волонтерское движение «Доступная среда: мы разные, но мы равные»;Социальная
Международный турнир по мини-футболу (футзалу)»Кубок Астафье-ва»   среди женских  студенческих команд и  команд детских домов;Социальная
Единый информационный портал поддержки студенческих и общественных инициатив и событий, происходящих в Высших учебных заведениях и общественных организациях РФ;Социальная
Подготовка сборной команды Российского студенческого спортивного союза по каратэ к Чемпионату Мира по каратэ среди студентов;Социальная
«Ни шагу назад!» Центр реабилитации и социального сервиса. (Социальная реабилитация жителей Орловской области, находящихся в конфликте с законом).;Социальная
"Организация национального агентства демографического развития. Проект ""Сравнительный аналитический мониторинг инфицированности ВИЧ среди коммерческих секс работниц и студентов вузов  реализуемое на базе передвижных медицинских центров  и концепции домашней почтовой экспресс диагностики с использованием новых технологий обеспечения абсолютной анонимности и массового скрининга (планируется охватить     3 000 человек)""";Научная
«Развитие добровольчества на базе юридических клиник в вузах Российской Федерации и привитие студенческой молодежи чувства социальной ответственности»;Социальная
"Всероссийский патриотический поисковый проект ""Наследие Великой Победы"" (укрепление патриотического духа и увековечение памяти о событиях Великой Отечественной войны).";Социальная
"Проведение добровольческого Форума СЗФО ""Волшебство добра""";Социальная
Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Учебная
Фестиваль и Спартакиада студенческих отрядов Сибирского федерального округа;Социальная
"""Обучен - значит защищен"". Подготовка добровольцев-спасателей из числа молодежи по программе первой помощи пострадавшим и остро заболевшим, обучение правилам действия в чрезвычайных ситуациях и др.";Учебная
«ИнтерактивМедиа» – дистанционный информационно-образовательный портал студенческих медиа;Учебная
«Тропами спорта»;Социальная
Развитие навыков социализации и трудоустройства студентов профессиональных училищь и колледжей г. Калуга;Социальная
"""Забытый полк Первой мировой: по пути 308 Чебоксарского пехотного полка"" (формирование процесса создания Книги Памяти уроженнцев Чувашии, принявших участие в Первой мировой войне).";Социальная
Электронная система мониторинга выявления и предупреждения нарушений и обеспечения прав студентов и преподавателей в процессе реорганизации неэффективных ВУЗов и интеграции образовательных организаций Республики Крым и города Севастополя в систему образования РФ;Научная
Развитие программы поддержки публикационной активности и продвижения передовых исследований российских молодых ученых, аспирантов и студентов;Научная
"""Все для ФРОНТА - все для ПОБЕДЫ""";Социальная
Международная Школа ПИР-Центра по проблемам глобальной безопасности для молодых специалистов из стран СНГ и БРИКС 2014 и программа стажировок для студентов региональных вузов;Научная
День студенческого футбола;Социальная
"""Доброволец 3D"" - проект по вовлечению студенческой и работающей молодежи, молодых мам в общероссийское движение добровольцев наставников для детей с ОВЗ";Социальная
Развитие массового студенческого баскетбола в Российской Федерации в 2014-15 г.г.;Социальная
Крымский студенческий форум;Социальная
«Информсеть»(программа повышения эффективности деятельности студенческих объединений с помощью внедрения в их работу инструментов традиционных и новых медийных каналов коммуникации);Социальная
"Система правовой поддержки студентов ""СТУДЕНТПРАВ"" (создание системы поддержки студентов и улучшение качества образования и социального обеспечения студенчества).";Социальная
День студенческого футбола;Социальная
"Повышение квалификации и профессиональная переподготовка педагогических работников по программе ""Формирование у студентов иммунитета к экстремизму""";Учебная
"""Дань памяти"": картографическая информационная система поддержки поискового движения на Смоленщине в целях увековечения памяти погибших защитников Отечества и сохранения воинской славы России.";Социальная
Общегородское студенческое образовательно-информационное радио «МегаБайт»;Социальная
Экологическо-информационный проект «Родные берега»;Социальная
«Студ.актив»;Социальная
Русский язык и современные коммуникации в международном сообществе детей и молодежи;Социальная
Всероссийский социальный информационный проект поддержки и популяризации спортивного студенческого движения;Социальная
Всероссийский студенческий практикум-семинар «Качественное образование - путь к успешной карьере»;Учебная
Деловая игра «Карьера: Старт!»;Учебная
Комплексная программа развития студенческого футбола и мини-футбола – «Студенческая мини-футбольная лига»;Социальная
Активный спорт Сибири: развитие лидерства и спортивного волонтёрства среди студентов через экстремальные виды спорта.;Социальная
Региональный центр подготовки спортивных менеджеров;Социальная
Предпринимательские игры CPBD: внедрение нового поколения программ предпринимательскогои карьерного развития студентов российских ссузов и школьников;Учебная
Межрегиональная спартакиада массового студенческого спорта среди студентов образовательных организаций среднего и высшего профессионального образования;Социальная
«Снежный десант»;Социальная
Краевой форум работающей молодежи;Социальная
Развитие движения студенческих отрядов Оренбургской области посредством повышения уровня организационной и методической подготовки командирских составов студенческих отрядов Оренбургской области;Социальная
Всекавказский студенческий марафон;Социальная
"Комплексная программа развития массового студенческого спорта в Волгоградском государственном техническом университете  ""Дружи со спортом!""";Социальная
Студенческий рок-фестиваль “Stud Rock 2014”;Социальная
Студенческие отряды как институт социализации и профессиональной адаптации молодежи в системе высшего образования.;Социальная
Охрана репродуктивного здоровья студентов как основа будущего нации;Социальная
Всероссийская программа признания по экологическому строительству среди проектировщиков, строительных и эксплуатирующих организаций в 7-ми номинациях в 2014 году (с широким привлечением участников из числа организаций, частных лиц и студентов);Социальная
Информационный портал для дистанционной профессиональной ориентации и дополнительного образования студентов высших и средних специальных учебных заведений в субъектах РФ - «Школа Управления»;Учебная
Всероссийский фестиваль «Неделя студенческого спорта»;Социальная
«Ресурсный центр студенческих трудовых отрядов в Приволжском Федеральном Округе»;Социальная
"Международная гражданско-патриотическая акция ""15 дней до Великой Победы"" с элементамиобразовательной модели";Социальная
Получение дополнительного профессионального образования и организация временной вторичной занятости учащейся и студенческой молодежи в свободное от обучения время, посредством участия в деятельности студенческих отрядов Оренбургской области «Студенческие отряды – старт в будущее»;Учебная
Всероссийский молодежный экологический форум «Эко-Лидер» 2014;Социальная
Нет чужих детей;Социальная
"ART&BOOK;";Социальная
Хабаровский городской молодёжный IT-форум на базе бизнес-инкубатора ФГБОУ ВПО ТОГУ (200 человек);Учебная
Центр поддержки молодой студенческой семьи;Социальная
Проблемы употребления алкоголя и наркотиков среди студентов ВУЗов и школьников старших классов  и повышение эффективности профилактической работы в регионах России;Социальная
Международный культурно-спортивный  фестиваль «Межнациональная современность»;Социальная
«В/НЕ/ЗАВИСИМОСТИ» Программа формирования безопасной модели поведения студентов;Социальная
"""Социализация студентов по средствам спортивно-оздоровительного туризма""";Социальная
«Родными тропами»;Социальная
Первый всероссийский молодежный зимний форум «Жаркий снег»;Социальная
Городское студенческое корпоративное пространство «Open hall»;Социальная
Школа пилотов;Социальная
Городское студенческое корпоративное пространство «Open hall»;Социальная
Комплексный пешеходный туристический маршрут «Линии»;Социальная
Родными тропами;Социальная
Школа пилотов;Социальная
Всероссийская школа командного состава студенческих специализированных отрядов вузов Минсельхоза России;Социальная
Первый всероссийский молодежный зимний форум «Жаркий снег»;Социальная
Добровольные студенческие спасательные отряды;Социальная
«ПЕРВЫЙ ОПЫТ» - программа профессиональных стажировок для студентов/выпускников с инвалидностью учебных заведений среднего специального и высшего звена на интеграционном предприятии            ООО «Форте принт»;Учебная
Экологический проект «Чистый город»;Социальная
Создание краевой молодёжно-студенческой планерной школы.;Социальная
Студенческий бизнес-кемпинг «Пространство возможностей»;Социальная
Международный молодежный энергетический клуб «Energy Club»;Социальная
«Добровольческий Центр СПбПУ»;Социальная
Фонд им. Л.М. Адлера;Социальная
"""Память поколений"":  межвузовская творческая лаборатория по поисковой и научно-исследовательской работе студентов и старшеклассников.";Научная
«Мы вместе» (Создание сводного студенческого отряда для совместной работы на строительном объекте с целью формирования чувства коллективизма и социальной ответственности).;Социальная
Первый  всероссийский  чемпионат  студенческой  лиги  по  бадминтону  (Кубок  лиги);Социальная
Мониторинг и защита прав обучающихся реорганизуемых вузов и филиалов;Научная
"""Во имя Победы"" - областной социальный веломарафон, посвященный 70-летию Победы в Великой Отечественной войне 1941-1945 гг.";Социальная
Создание Волонтерского экскурсионного центра;Социальная
International Kindergarten;Социальная
«Молодежная Перспектива»;Социальная
"""Молодежь - наука - инновации!""";Научная
Молодые и перспективные;Социальная
Научно - просветительская программа содействия развитию образовательных процессов молодежи: Второй Общероссийский конкурс студенческих работ в области Универсального дизайна и создания без барьерной городской среды для маломобильных групп населения.;Научная
"""Дань памяти"": картографическая информационная система поддержки поискового движения на Смоленщине в целях увековечения памяти погибших защитников Отечества и сохранения воинской славы России.";Социальная
«Интеллектуальный марафон»;Научная
Всероссийский студенческий фестиваль живого звука «Энергия Рока -2015»;Социальная
Крым в русской исторической памяти. Лекционный курс для студентов ВУЗов и молодежи Республики Крым и города федерального значения Севастополя;Учебная
«Время делать добро»;Социальная
XXII Московский Фестиваль студенческого творчества «Фестос» (межрегиональный этап), посвященный 70-летию Великой Победы;Социальная
Северо-Осетинский горный отряд студентов общественных спасателей;Социальная
"Клуб ""Студенческая семья """;Социальная
Организация и проведение фестиваля-конкурса сотворчества «Мы вместе» для детей-сирот и детей, оставшихся без попечения родителей и участников студенческих отрядов Оренбургской области, посвященного 70-летию Победы в Великой Отечественной Войне;Социальная
Наш дворовый тренер;Социальная
Просветительско-спортивный студенческий Фестиваль, посвященный 70-летию Победы в Великой Отечественной войне;Социальная
Организация и проведение цикла информационно-просветительских практических семинаров в сфере кинематографа для студентов Москвы и Московской области, посвященных 70-летию Победы.;Учебная
Московская мультимедийная сеть студенческих СМИ «Студмедиа»;Социальная
Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Научная
Организация и проведение международного молодежного фестиваля креативных идей «Территория открытости» в Астрахани для взаимодействия инициативных молодых людей, школьников и студентов стран Прикаспийского региона.;Научная
Активный студенческий спорт;Социальная
Дискуссионный клуб школьников и студентов «Патриотический диалог»: осмысление социального равенства в молодежных творческих работах о Великой Отечественной войне.;Социальная
«Открытая региональная школа благотворительности» (создание школы благотворительности для обучения школьников, студентов, пенсионеров, субъектов предпринимательской деятельности, представителей НКО и т.д.).;Социальная
Студенческое спортивное телевидение Санкт-Петербурга;Социальная
Семейное студенческое содружество;Социальная
Развитие массового студенческого хоккея в Российской федерации;Социальная
Воронежские студенческие отряды. Работать, чтобы расти.;Социальная
"""Доброволец - миротворец"". (Поддержание действующих добровольческих инициатив, создание студенческих добровольческих отрядов, информирование о возможностях волонтерской деятельности).";Социальная
«Поступай правильно!»;Социальная
Формирование культуры здорового питания в студенческой среде;Социальная
Формирование ценности семьи у студенческой молодежи;Социальная
"""Нам доверена память"" (сохранение памяти о подвиге нашего народа в годы Великой Отечественной войны, увековечение памяти о защитниках Отечества, формирование у молодого поколения патриотического сознания).";Социальная
Разработка оздоровительной инновационной технологии физической подготовки студентов специальной медицинской группы на основе индивидуально-типологического подхода;Научная
«Россия глазами иностранцев» (“Explore Russia”);Научная
"студенческий фестиваль, посвящённый Году литературы в РФ ""РУССКИЙ ЯЗЫК - ДУША РОСИИ""";Учебная
Мечта-3000;Социальная
Создание условий для занятий физической культурой для студентов с ограниченными возможностями;Социальная
Всероссийское  студенческое  радио  (ВСР);Социальная
Живи  реальностью!;Социальная
Открытый фестиваль массового студенческого спорта для лиц с нарушением по слуху «Звезда студенческого спорта»;Социальная
"""Центр гармонизации межэтнических отношений в молодежной среде"". (Минимизация количества конфликтов на межнациональной почве, снижение экстремистских настроений путем адаптации приезжих студентов в образовательный процесс).";Социальная
Проведение обучающих курсов для студентов ВУЗов по основам написания научных студенческих работ;Учебная
Популяризация  традиционных духовных ценностей Евразийской цивилизации среди студенческой молодежи регионов Российской Федерации и республик Центральной Азии;Социальная
Саммит студенческих лидеров стран ШОС;Социальная
Центр  здоровья» для студентов среднего профессионального образования;Социальная
Фестиваль студенческих СМИ;Социальная
Социальная адаптация и социализация студентов из числа детей-сирот и детей, оставшихся без попечения родителей «Социальный адаптив»;Социальная
"""Молодые и перспективные"" (""Young&Perspective"")";Социальная
Развитие массового студенческого спорта в России;Социальная
"Международный студенческий форум ""Инновационные подходы к системе образования: российский и европейский опыт""";Научная
Обучение профессии «проводник пассажирского вагона» – бойцов студенческих отрядов;Учебная
Республиканская школа бойцов студенческих строительных отрядов Удмуртской Республики;Социальная
Развитие студенческого спорта Тверской области;Социальная
«Участие студентов в управлении качеством образовательных услуг»;Учебная
Комплексная программа развития студенческого футбола и мини-футбола – «Студенческая мини-футбольная лига»;Социальная
Фрироуп-парк;Социальная
"""Студенческий центр занятости""";Социальная
«Озеро Чемпионов» - доступный спорт студенту в каждый день.;Социальная
Развитие молодежного журнала «Студент» в рамках Студенческого пресс-центра МГТУ;Социальная
«МГТУ против наркотиков»;Социальная
"Международный молодежный научный форум ""Ломоносов""";Научная
«50 добрых дел любимому городу»;Социальная
60+;Социальная
Интеллектуально - правовая игра по станциям «Конституция»;Учебная
Проект  «Центр  созидательной  активности  студенческой  молодежи»;Социальная
"Проект по развитию студенческих объединений ""Я -лидер""";Социальная
Разработка и внедрение информационно-аналитической системы оценки и коррекции физического состояния студентов;Научная
Сила духа;Социальная
Повышение уровня методической и организационной подготовки студенческих педагогических отрядов Приволжского федерального округа, в том числе развитие навыков написания и реализации профильных и тематических смен.;Социальная
Программа пропаганды здорового образа жизни  среди студентов вузов Южного и Северо-Кавказского федеральных округов;Социальная
Обучающий семинар для студенческого актива вузов Приволжского федерального округа «Законодательные аспекты  организации работы в студенческих общежитиях»;Учебная
"Поуляризация исторического наследия, для профилактики конфликтов в студенческой среде Республики Дагестан, Краснодарского и Ставропольского краев: новые подходы межрегионального культурного обмена"".";Социальная
"театр особых людей ""Радость моя""";Социальная
Родными тропами;Социальная
Школа пилотов;Социальная
Студенческая футбольная лига Санкт-Петербурга;Социальная
Всекавказский студенческий молодежный веломарафон – 2015;Социальная
"""Мы помним подвиг солдата"" (комплекс мероприятий патриотической направленности для  школьников, учащихся и студентов учебных заведений Астраханской области).";Социальная
Развитие навыков социализации и трудоустройства студентов профессиональных училищ и колледжей Воронежа и Калуги.;Социальная
Школа пилотов;Социальная
Родными тропами;Социальная
"Образовательный проект для студентов ""Доступное законотворчество""";Учебная
"Гражданский историко-просветительский проект ""Единение"" (создание открытого образовательного и социокультурного пространства путем вовлечения детей, студентов и взрослых в совместное творчество).";Учебная
Научно - просветительская программа содействия развитию образовательных процессов молодежи: Общероссийский конкурс студенческих работ в области Универсального дизайна и создания без барьерной городской среды для маломобильных групп населения.;Научная
Фестиваль и Спартакиада студенческих отрядов Сибирского федерального округа;Социальная
«В/НЕ/ЗАВИСИМОСТИ» Программа формирования безопасной модели поведения студентов;Социальная
Всероссийский конкурс молодых преподавателей вузов. Новые подходы в подготовке кадров.;Учебная
«Английский лев» (обучение студентов английскому языку при помощи веб-сервиса LinguaLeo).;Учебная
Создание условий для развития у сельской молодежи и студентов аграрных учебных заведений Томской области инновационного потенциала в сфере управления, трансляции научных достижений в технологическую модернизацию производства, гуманитарных общественных практик;Социальная
V международный турнир по парламентским дебатам  «Pro et Contra»;Социальная
"Ресурсный центр молодежных инициатив ""Арена""";Социальная
Республиканский проект дополнительного образования, профориентации и патриотического воспитания «Мы - Россия!»;Социальная
"""Найти и увековечить: Имя героя - народ, подвиг народа - Победа!"" (организация поискового движения с участием актива ветеранов войны и труда, учащейся школьной и студенческой молодежи).";Социальная
Проведение общероссийской переписи детских загородных стационарных лагерей;Социальная
Формирование системы воспитания «Моя родина – Россия» через систему развития движения студенческих педагогических отрядов;Социальная
Актуализация и распространение движения студенческих отрядов среди молодежи в рамках реализации программы профессиональной, личностной и социальной самореализации.;Социальная
Проведение II Форума черкесской молодежи России и зарубежья;Социальная
«Интеллектуальный марафон»;Научная
Единый портал молодежных СМИ;Социальная
"""Лидеры территорий""";Социальная
Программа пропаганды здорового образа жизни  среди студентов вузов Южного и Северо-Кавказского федеральных округов;Социальная
Проект взаимоподдержки молодежи и студенчества;Социальная
Защита прав иногородних студентов высших и средних специальных учебных заведений на проживание в общежитиях;Социальная
Создание условий для занятий физической культурой для студентов с ограниченными возможностями здоровья;Социальная
"Молодежный фестиваль ""Всероссийский студенческий марафон""";Социальная
Информационное обеспечение деятельности вузовских студенческих профсоюзов г. Москвы;Учебная
"""Все для ФРОНТА - Все для ПОБЕДЫ""";Социальная
Патриотический медиа проект «Земля Героев»;Социальная
"Ресурсный центр молодежных инициатив ""Арена""";Социальная
Популяризация  традиционных духовных ценностей Евразийской цивилизации среди студенческой молодежи регионов Российской Федерации и республик Центральной Азии;Социальная
«Герои современной России»;Социальная
"""Интернациональный студенческий многопрофильный отряд Алтайского края"" (проведение обучающих мастер-классов, культурно-творческих мероприятий, тематических акций и т.д.).";Социальная
Проведение аудио-визуальных интерактивных лекций-презентаций по военной истории России со студентами средних профессиональных учебных заведений в городах-участниках проекта;Учебная
Живи реальностью!;Социальная
Добровольческий студенческий строительный отряд безвозмездного труда  «Красная гвоздика»;Социальная
Музейно-парковое наследие Санкт-Петербурга и его пригородов как источник творческоговдохновения, профессионализма, патриотизма и любви к российской культуре в дизайн-образовании дляшкольников, студентов и творческой молодежи;Социальная
Региональный проект «Кадровая биржа успешных студентов – работодателям Челябинской области!»;Социальная
"""Скажи своё слово о Родине"" (организация тематических конкурсов среди школьников и студентов, проведение творческих встреч молодежи с авторитетными людьми, разноформатных фестивалей авторской песни).";Социальная
Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Социальная
Территрия БЕЗопасности;Социальная
Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Социальная
Организация и проведение фестиваля-конкурса сотворчества «Мы вместе» для детей-сирот и детей, оставшихся без попечения родителей и участников студенческих отрядов Оренбургской области, посвященного 70-летию Победы в Великой Отечественной Войне;Социальная
Школа командного состава студенческих отрядов Кемеровской области;Социальная
"""Информсеть""(программа повышения эффективности деятельности студенческих объединений с помощью внедрения в их работу инструментов традиционных и новых медийных каналов коммуникации)";Социальная
Общероссийский поэтический конкурс «Под крылом Родины»;Социальная
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
