"Негосударственное образовательное учреждение Высшее профессиональное образование ""Сергиево-Посадский гуманитарный институт""";Организация инновационного межвузовского завода-лаборатории для производственной практики студентов;Российский Союз Молодежи;2
Межрегиональная общественная организация «Экологический клуб аспирантов, студентов и школьников Балтийско-Ладожского региона»;Общероссийский с международным участием молодежный Биос-форум 2014;Российский Союз Молодежи;142
Орловская региональная  общественная организация «Орловская студенческая община»;«ТОСовский призыв!» (Региональный центр развития территориального общественного самоуправления Орловской области);Институт социально-экономических и политических исследований;144
"Кемеровское региональное отделение молодёжной общероссийской общественной организации ""Российские Студенческие Отряды""";"Добровольческий студенческий строительный отряд безвозмездного труда ""Красная гвоздика""";Российский Союз Молодежи;145
"Автономная некомерческая организация высшего профессионального образования ""Международный банковский институт""";Создание ресурсного центра в сфере банковского дела для студентов и специалистов Республики Крым и города федерального значения Севастополь;Общество «Знание» России;152
Некоммерческая организация «Фонд развития и поддержки общественных организаций СВАО»;Социального медиапроекта профессиональной социальной сети международного обмена «Клуб Международных стажировок студентов»;Российский Союз Молодежи;154
Первичная профсоюзная организация студентов Уфимского государственного института сервиса Профсоюза работников народного образования и науки Российской Федерации;«Молодежная бизнес – среда. Стратегия роста»;Российский Союз Молодежи;155
Ингушское региональное отделение Молодежной общероссийской общественной организации «Российские студенческие отряды»;Развитие научно-технического творчества молодежи Республики Ингушетия.;Российский Союз Молодежи;156
Региональное общественная организация «Ассоциация студентов Ингушетии».;«Таргим 2014»;Российский Союз Молодежи;160
Межрегиональный общественный фонд выпускников, преподавателей сотрудников и студентов Свердловского юридического института – Уральской государственной юридической академии;Общественная Дума;Институт проблем гражданского общества;169
Тамбовское региональное отделение Общероссийской общественной организации «ВСЕРОССИЙСКИЙ СТУДЕНЧЕСКИЙ СОЮЗ»;Укрепление гражданского единства в студенческой среде;Российский Союз Молодежи;177
"Свердловский региональный общественный фонд развития кино и телевидения для детей и юношества ""Возрождение""";"Молодежный студенческий лагерь – десант ""ЖИЗНЕСТРОЙ-2014"" г. Верхний Тагил";Российский Союз Молодежи;178
Автономная некоммерческая организация «Молодежные трудовые отряды Тамбовской области»;Развитие студенческих строительных отрядов в Тамбовской области;Российский Союз Молодежи;179
Региональная Ростовская молодежная организация студентов, изучающих экономику и управление «АЙСЕК»;Молодые и перспективные;Институт проблем гражданского общества;179
Некоммерческое партнерство «Национальная студенческая футбольная лига»;День студенческого футбола;Общество «Знание» России;188
"Калужская областная общественная организация поисковых отрядов ""Патриотическое объединение ""Память""";"""Память о великом подвиге живет в серцах"" (комплекс мероприятий патриотической направленности с участием  школьников, учащихся и студентов учебных заведений).";Национальный благотворительный фонд;190
"Министерство образования и науки Российской Федерации Федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Дальневосточный федеральный университет""";"Условия формирования качества жизни студентов различных учебных отделений в системе высшего профессионального образования (на примере ФГАОУ ВПО ""Дальневосточный федеральный университет"")";Институт социально-экономических и политических исследований;196
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;"«Открытие молодежного событийного пространства  "" Красилово""»";Российский Союз Молодежи;196
Южно-Российская Ассоциация студенческих профсоюзных организаций;Программа подготовки студентов вузов Южного и Северо-Кавказского федеральных округов к сдаче норм ГТО;Лига здоровья нации;199
Первичная организация Профсоюза студентов Тихоокеанского Государственного Университета;Технологическоая платформа для агрегации и дистанционного обеспечения нормативно-правовой информацией студентов ВУЗов;Институт социально-экономических и политических исследований;204
Первичная  профсоюзная организация студентов «Санкт- Петербургского государственного политехнического университета профсоюза работников народного образования и науки Российской Федерации»;Большие студенческие игры;Российский Союз Молодежи;206
Новгородская региональная общественная организация «Общество Возрождения Православных Храмов Земли Новгородской»;Поддержка глухих и слабослышащих с помощью изучения их проблем и образа жизни, привлечения внимания к их положению и разработке программы по развитию взаимопонимания с ними в подростковой и студенческой среде.;Национальный благотворительный фонд;210
Автономная некоммерческая организация «Новая стратегия»;Особенности обыденного политического сознания современных студентов (представления о Конституции и коррупции);Институт социально-экономических и политических исследований;210
Челябинская региональная общественная организация «Поисковый отряд «Ориентир»;"""Искать, нельзя забыть"" (создание системы привлечения учащихся и студентов образовательных учреждений г. Челябинска к проведению поисковой работы по периоду Великой Отечественной войны 1941-1945 гг.).";Национальный благотворительный фонд;223
Межрегиональная общественная организация «Экологический клуб аспирантов, студентов и школьников Балтийско-Ладожского региона»;Формирование системы общественного экологического контроля за чистую окружающую среду на основе межрегиональных Биос-школ;Лига здоровья нации;235
"Иркутская областная общественная организация ""Байкальский студенческий строительный отряд""";Учебный центр студенческих отрядов;Российский Союз Молодежи;235
Автономная некоммерческая организация высшего профессионального образования Межрегиональный открытый социальный институт;«Укрощение льва» (обучение студентов английскому языку при помощи веб-сервиса LinguaLeo).;Российский Союз Молодежи;242
Тверская региональная общественная организация по поддержке студентов, детей и молодежи «Содействие детскому отдыху»;Русский язык и современные коммуникации в международном сообществе детей и молодежи;Российский Союз Молодежи;260
"Региональная молодежная общественная организация ""Организация студентов, изучающих экономику и управление""";Россия глазами иностранцев: развитие межкультурного диалога и содействие взаимной интеграции молодежи России и стран мира;Институт проблем гражданского общества;261
Региональная общественная организация «Санкт-Петербургская федерация дебатов»;Общегородское студенческое образовательно-информационное радио «МегаБайт»;Общество «Знание» России;263
Воронежская региональная общественная детская организация «Искра»;Межрегиональный фестиваль школьных и студенческих медиа-проектов;Российский Союз Молодежи;268
Межрегиональная общественная организация «Экологический клуб аспирантов, студентов и школьников Балтийско-Ладожского региона»;"Конкурс научных и творческих работ в области охраны окружающей среды и экологической безопасности среди аспирантов, студентов и школьников ""Биос-олимпиада 2014""";Общество «Знание» России;275
Общественная организация «Студенческие строительные отряды Кировской области»;"""Мы вместе"" (Создание сводного студенческого отряда для совместной работы на строительном объекте).";Национальный благотворительный фонд;288
Общероссийское общественное движение «Россия Молодая»;Проект взаимоподдержки студенчества;Институт проблем гражданского общества;288
"Алтайское региональное отделение Общероссийской общественной организации ""ВСЕРОССИЙСКИЙ СТУДЕНЧЕСКИЙ СОЮЗ""";"""Студенческий дозор"" - повышение правозащитного потенциала студенческих организаций России";Общероссийское общественное движение «Гражданское достоинство»;300
"некоммерческое партнерство ""База активных здоровых занятий""";Российская студенческая весна. Начало;Российский Союз Молодежи;300
Первичная организация Профсоюза студентов Тихоокеанского Государственного Университета;"Разработка и опытная эксплуатация мобильного приложения ""Права студента""";Общероссийское общественное движение «Гражданское достоинство»;310
Союз студенческих землячеств;Гармонизация межнациональных отношений - воспитание гражданской идентичности у молодежи.;Национальный благотворительный фонд;322
Негосударственное образовательное учреждение высшего профессионального образования  «Российская экономическая школа» (институт);New Economic Starts: спартакиада для студентов и выпускников экономических вузов;Российский Союз Молодежи;325
Первичная профсоюзная организация студентов и аспирантов Горно-Алтайского государственного университета;Я студент – гражданин!;Институт проблем гражданского общества;343
Автономная некоммерческая организация «Развитие студенческого и молодежного спорта»;Российская студенческая хоккейная лига;Российский Союз Молодежи;344
Автономная некоммерческая организация высшего профессионального образования Межрегиональный открытый социальный институт;Программа межвузовского обмена студентами;Общество «Знание» России;357
Автономная некоммерческая организация высшего профессионального образования Межрегиональный открытый социальный институт;Организация рабочих мест для студентов-стажеров на производственном предприятии;Общество «Знание» России;362
Первичная профсоюзная организация студентов Сибирского государственного университета путей сообщения Общественной организации - Российского профессионального союза железнодорожников и транспортных строителей /Роспрофжел/;Оборонно-спортивная эстафета НИВИТа-НИИЖТа-СГУПСа;Российский Союз Молодежи;372
Ассоциация профсоюзных организаций студентов образовательных учреждений высшего профессионального образования Свердловской области;IV международный турнир по парламентским дебатам «Pro et Contra»;Общество «Знание» России;379
Ростовское региональное отделение молодежной общероссийской общественной организации «Российские студенческие отряды»;Развитие студенческих отрядов Крымского федерального округа (создание линейных студенческих отрядов на базе учебных заведений Крымского федерального округа, трудовая социализация и адптация).;Национальный благотворительный фонд;384
"Общероссийский союз общественных объединений ""Российский Национальный подготовительный комитет всмирных фестивалей молодежи и студентов""";"""Единение народов России!"" (создание интернет-площадок, выпуск печатных изданий, проведение семинаров и форумов, направленных  на сближение и усиление взаимной адаптации этнических групп России).";Национальный благотворительный фонд;387
Автономная некоммерческая организация Межвузовский учебно-научный консалтинговый центр «Инновационное образование»;Научно-методическое и информационное обеспечение гражданско-патриотического воспитания российского студенчества;Российский Союз Молодежи;394
"Некоммерческое партнерство ""Толеранс""";«Народная дипломатия для профилактики конфликтов с участием студентов-дагестанцев» (снижение уровня конфликтности в студенческой среде Краснодарского края, Ростовской области и Республики Адыгея).;Национальный благотворительный фонд;397
"Волгоградская региональная общественная организация ""Центр творческой молодёжи""";"Молодёжный фестиваль ""Всероссийский студенческий марафон""";Российский Союз Молодежи;397
"Новосибирская областная общественная организация ""Возрождение национальных культур""";"""Учебное пособие «Рисунок тушью» для студентов ВУЗов, обучающихся по направлению «Архитектура», как одно из направлений обучения молодежи познанию русского народного творчества и искусства""";Общество «Знание» России;402
Региональная общественная организация «Информационно-аналитический центр развития молодежного парламентаризма и самоуправления»;Система информирования студентов;Институт проблем гражданского общества;411
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;Молодежное волонтерское движение «Доступная среда: мы разные, но мы равные»;Лига здоровья нации;418
"Красноярская региональная общественная организация ""Краевая федерация женского футбола""";Международный турнир по мини-футболу (футзалу)»Кубок Астафье-ва»   среди женских  студенческих команд и  команд детских домов;Российский Союз Молодежи;419
"Фонд поддержки гражданских инициатив ""Национальная стратегия""";Единый информационный портал поддержки студенческих и общественных инициатив и событий, происходящих в Высших учебных заведениях и общественных организациях РФ;Институт проблем гражданского общества;419
Общероссийский союз общественных объединений «Студенческий союз каратэ-до России»;Подготовка сборной команды Российского студенческого спортивного союза по каратэ к Чемпионату Мира по каратэ среди студентов;Лига здоровья нации;429
"Орловская областная молодежная общественная организация ""Орловская студенческая община""";«Ни шагу назад!» Центр реабилитации и социального сервиса. (Социальная реабилитация жителей Орловской области, находящихся в конфликте с законом).;Национальный благотворительный фонд;433
"Автономная некоммерческая организация  ""Национальный межведомственный координационный научно-практический и учебно-методический Центр профилактики наркомании, алкоголизма, табакокурения и социально опасных заболеваний""";"Организация национального агентства демографического развития. Проект ""Сравнительный аналитический мониторинг инфицированности ВИЧ среди коммерческих секс работниц и студентов вузов  реализуемое на базе передвижных медицинских центров  и концепции домашней почтовой экспресс диагностики с использованием новых технологий обеспечения абсолютной анонимности и массового скрининга (планируется охватить     3 000 человек)""";Институт проблем гражданского общества;445
"Автономная некоммерческая организация ""Центр развития юридических клиник""";«Развитие добровольчества на базе юридических клиник в вузах Российской Федерации и привитие студенческой молодежи чувства социальной ответственности»;Российский Союз Молодежи;446
"Всероссийская молодежная общественная организация ""Российский союз студенческих организаций""";"Всероссийский патриотический поисковый проект ""Наследие Великой Победы"" (укрепление патриотического духа и увековечение памяти о событиях Великой Отечественной войны).";Национальный благотворительный фонд;452
"Калинградская региональная молодежная общественная организация ""Калининградский областной штаб студенческих отрядов""";"Проведение добровольческого Форума СЗФО ""Волшебство добра""";Российский Союз Молодежи;461
Некоммерческое партнёрство «Клуб студентов и молодёжи «Первые»;Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Российский Союз Молодежи;463
Алтайское региональное отделение молодежной общероссийской общественной организации «Российские студенческие отряды».;Фестиваль и Спартакиада студенческих отрядов Сибирского федерального округа;Российский Союз Молодежи;464
"Самарское региональное отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";"""Обучен - значит защищен"". Подготовка добровольцев-спасателей из числа молодежи по программе первой помощи пострадавшим и остро заболевшим, обучение правилам действия в чрезвычайных ситуациях и др.";Национальный благотворительный фонд;466
Общероссийская общественная организация  «Всероссийский студенческий союз»;«ИнтерактивМедиа» – дистанционный информационно-образовательный портал студенческих медиа;Институт проблем гражданского общества;477
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;«Тропами спорта»;Российский Союз Молодежи;485
"Фонд социального развития и охраны здоровья ""ФОКУС-МЕДИА""";Развитие навыков социализации и трудоустройства студентов профессиональных училищь и колледжей г. Калуга;Общество «Знание» России;494
Первичная профсоюзная организация студентов, аспирантов, ординаторов Чувашского государственного университета им. И.Н. Ульянова профсоюза работников народного образования и науки Российской Федерации;"""Забытый полк Первой мировой: по пути 308 Чебоксарского пехотного полка"" (формирование процесса создания Книги Памяти уроженнцев Чувашии, принявших участие в Первой мировой войне).";Национальный благотворительный фонд;496
Межрегиональная общественная организация «Молодые юристы»;Электронная система мониторинга выявления и предупреждения нарушений и обеспечения прав студентов и преподавателей в процессе реорганизации неэффективных ВУЗов и интеграции образовательных организаций Республики Крым и города Севастополя в систему образования РФ;Российский Союз Молодежи;499
"Фонд поддержки молодых ученых ""УМА""";Развитие программы поддержки публикационной активности и продвижения передовых исследований российских молодых ученых, аспирантов и студентов;Общество «Знание» России;502
"Региональная молодежная общественная организация ""омский областной студенческий отряд""";"""Все для ФРОНТА - все для ПОБЕДЫ""";Российский Союз Молодежи;510
Автономная некоммерческая организация «ПИР-Центр политических исследований»;Международная Школа ПИР-Центра по проблемам глобальной безопасности для молодых специалистов из стран СНГ и БРИКС 2014 и программа стажировок для студентов региональных вузов;Институт проблем гражданского общества;512
Некоммерческое партнерство «Национальная студенческая футбольная лига»;День студенческого футбола;Российский Союз Молодежи;519
Некоммерческая организация «Благотворительный Фонд помощи детям «ДетскиеДомики»;"""Доброволец 3D"" - проект по вовлечению студенческой и работающей молодежи, молодых мам в общероссийское движение добровольцев наставников для детей с ОВЗ";Российский Союз Молодежи;520
Некоммерческая организация «Ассоциация студенческого баскетбола»;Развитие массового студенческого баскетбола в Российской Федерации в 2014-15 г.г.;Российский Союз Молодежи;524
Общероссийская общественная организация  «Всероссийский студенческий союз»;Крымский студенческий форум;Российский Союз Молодежи;529
Фонд социальных инициатив граждан Калининградской области;«Информсеть»(программа повышения эффективности деятельности студенческих объединений с помощью внедрения в их работу инструментов традиционных и новых медийных каналов коммуникации);Институт проблем гражданского общества;546
"Автономная некоммерческая организация ""Экспертно-аналитический Центр по модернизации и технологическому развитию экономики""";"Система правовой поддержки студентов ""СТУДЕНТПРАВ"" (создание системы поддержки студентов и улучшение качества образования и социального обеспечения студенчества).";Национальный благотворительный фонд;561
Некоммерческое партнерство «Национальная студенческая футбольная лига»;День студенческого футбола;Лига здоровья нации;569
Автономная некоммерческая организация высшего профессионального образования «Казанский институт финансов, экономики и информатики»;"Повышение квалификации и профессиональная переподготовка педагогических работников по программе ""Формирование у студентов иммунитета к экстремизму""";Общество «Знание» России;570
