name;type;reg;god
Благотворительный фонд имени Василия Николаева по поддержке школьников, студентов в области информатики и программирования;Некоммерческий фонд;Республика Саха (Якутия);2012
"Благотворительный фонд помощи одаренным студентам и аспирантам Московской государственной консерватории им. П.И. Чайковского ""Фонд имени Д.Д. Шостаковича""";Некоммерческий фонд;Москва;2006
"Благотворительный фонд содействия инновационной, научно-практической и образовательной деятельности школьников, студентов, молодежи, организаций ""Созидание""";Некоммерческий фонд;Волгоградская область;2010
Владивостокская первичная общественная профсоюзная организация студентов ДВГАЭУ Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Приморский край;
Владивостокская первичная общественная профсоюзная организация студентов ДВГУ Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Приморский край;2002
"Волгоградская городская общественная организация студентов ""Айсек - Волгоград""";Общественная организация;Волгоградская область;2009
"Волгоградское городское отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Волгоградская область;2006
"Вологодская областная молодёжная общественная организация ""Ассоциация студентов Вологодской области""";Общественная организация;Вологодская область;2003
"Воронежская местная общественная студенческая организация ""Землячество ""Рамонь"" Воронежского государственного педуниверситета""";Общественная организация;Воронежская область;2005
"Воронежская общественная молодежная организация ""Землячество студентов ВГПУ ""ВЕМАС""";Общественная организация;Воронежская область;
Воронежская региональная общественная организация работников науки, высшей школы и студентов;Общественная организация;Воронежская область;
"Воронежская региональная общественная организация студенческого спорта ""БУРЕВЕСТНИК""";Общественная организация;Воронежская область;2007
"Всероссийская молодежная общественная организация ""Российский союз студенческих организаций""";Общественная организация;Министерство юстиции;2011
"Всероссийская общественная молодежная организация ""Всероссийский студенческий корпус спасателей""";Общественная организация;Министерство юстиции;2003
"Городская молодежная общественная организация ""Ассоциация студентов-медиков, молодых ученых и врачей г. Ижевска""";Общественная организация;Удмуртская Республика;2003
Городская общественная организация добровольного студенческого отряда спасателей Оренбургского государственного педагогического университета;Общественная организация;Оренбургская область;
"Дагестанское региональное отделение общеросийской общественной организации Российский студенческий спортивный союз ""Буревестник""";Общественная организация;Республика Дагестан;2013
Дальневосточная межрегиональная общественная организация добровольных студенческих спасательских отрядов;Общественная организация;Хабаровский край;
"Забайкальская краевая общественная студенческая спортивная организация ""Буревестник""";Общественная организация;Забайкальский край;2002
Ивановское региональное отделение Общероссийской общественной организации инвалидов Российской ассоциации незрячих студентов и специалистов.;Общественная организация;Ивановская область;2003
"Ивановское региональное отделение Общероссийской общественной организации ""Российский студенческий спортивный союз""";Общественная организация;Ивановская область;2013
"Иркутская областная молодежная общественная организация ""Иркутский областной студенческий отряд""";Общественная организация;Иркутская область;2013
"Иркутская областная общественная организация ""Байкальский студенческий строительный отряд""";Общественная организация;Иркутская область;2003
"Иркутская областная общественная организация ""Штаб студенческих трудовых отрядов ""НАШ-ИРКУТСК""";Общественная организация;Иркутская область;2013
Иркутская региональная молодежная общественная организация студентов, изучающих экономику и управление;Общественная организация;Иркутская область;2013
Иркутский региональный общественный фонд развития студенческого спорта;Общественный фонд;Иркутская область;2008
Кабардино-Балкарский благотворительный фонд социальной поддержки студентов им. В.К. Тлостанова;Некоммерческий фонд;Кабардино-Балкарская Республика;2003
"Калининградская общественная первичная профсоюзная организация студентов ""Балтийского федерального университета имени Иммануила Канта"" работников народного образования и науки РФ";Профессиональный союз;Калининградская область;2003
"Калининградская региональная молодежная общественная организация ""Калининградский студенческий клуб""";Общественная организация;Калининградская область;
"Калининградская региональная молодёжная общественная организация ""КАлининградский областной штаб студенческих отрядов""";Общественная организация;Калининградская область;2010
"Калининградская региональная общественная организация ""Ассоциация студентов, изучающих экономику и управление, ""АЙСЕК""";Общественная организация;Калининградская область;2003
"Калининградское региональное отделение Общероссийской общественной организации ""РОссийский студенческий спортивный союз""";Общественная организация;Калининградская область;2013
"Карачаево-Черкесское региональное общественное движение молодежи и студентов ""Спасатель""";Общественное движение;Карачаево-Черкесская Республика;2002
КБ региональное отделение ОООИ Российской Ассоциации незрячих студентов и специалистов(РАНСиС)Общественная организация;Общественная организация;Кабардино-Балкарская Республика;2005
"Кемеровское региональное отделение Общероссийской общественной организации ""Российский студенческий спортивный союз""";Общественная организация;Кемеровская область;2010
"Кировская региональная общественная организация ""Ассоциация студентов и выпускников Санкт-Петербургского института внешнеэкономических связей, экономики и права""";Общественная организация;Кировская область;2006
Костромская городская общественная организация Ассоциация студентов;Общественная организация;Костромская область;2002
"Краснодарская Краевая Молодежная Общественная Организация ""Кубанское студенчество""";Общественная организация;Краснодарский край;2003
Краснодарская краевая молодежная общественная организация «Содружество молодежи и студентов «Новое поколение»;Общественная организация;Краснодарский край;2001
"Краснодарская краевая молодежная общественная организация ""Штаб студенческих отрядов""";Общественная организация;Краснодарский край;2003
Краснодарская краевая общественная организация поддержки молодежного и студенческого предпринимательства;Общественная организация;Краснодарский край;2011
"Краснодарское краевое отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Краснодарский край;2003
"Краснодарское региональное отделение Молодежной общероссийской общественной организации ""Российские студенческие отряды""";Общественная организация;Краснодарский край;2012
Красноярская краевая ассоциация профсоюзных организаций студентов;Профессиональный союз;Красноярский край;2002
"Красноярская Местная молодежная общественная организация Корпорация студентов и выпускников ""Студорг""";Общественная организация;Красноярский край;2012
"Красноярское региональное отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Красноярский край;2012
Курганская областная общественная организация студентов добровольных спасателей;Общественная организация;Курганская область;2003
"Курганская региональная общественная организация ""Курганский областной штаб студенческих отрядов""";Общественная организация;Курганская область;2002
"Курский региональный студенческий спортивный союз ""Буревестник""";Объединения (союз, ассоциация) юридических лиц;Курская область;2005
"Курское региональное отделение Всеросийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Курская область;2002
"Ленинградское региональное движение ""Центр студенческих специализированных отрядов""";Общественное движение;Ленинградская область;2003
"Липецкая областная молодежная общественная организация ""Ассоциация студентов Липецкой области""";Общественная организация;Липецкая область;2006
Международный студенческий футбольный союз;Объединения (союз, ассоциация) юридических лиц;Москва;2012
"Межрегиональная молодежная общественная организация ""Ассоциация студентов-юристов""";Общественная организация;Москва;2013
"Межрегиональная молодежная общественная организация ""Объединение студентов изучающих экономику и управление ""АЙСЕК""";Общественная организация;Москва;2007
"межрегиональная общественная органиазция ""Экологический клуб аспирантов, студентов и школьников Балтийско-Ладожского региона""";Общественная организация;Санкт-Петербург;
"Межрегиональная общественная организация ""Ассоциация студентов ""АИСТИ""";Общественная организация;Москва;
"Межрегиональная общественная организация ""Ассоциация студентов и аспирантов Башкортостана в Москве и Санкт-Петербурге""";Общественная организация;Москва;2013
"Межрегиональная общественная организация ""Баскетбольно-волейбольный Центр студенческой молодежи ""ПОЛИТЕХ""";Общественная организация;Нижегородская область;
"Межрегиональная общественная организация ""Клуб выпускников и студентов университетов""";Общественная организация;Москва;
Межрегиональная общественная организация коммерческих студентов;Общественная организация;Санкт-Петербург;
"Межрегиональная общественная организация ""Профсоюз студентов Российского государственного университета туризма и сервиса""";Общественная организация;Московская область;2003
"Межрегиональная общественная организация ""Сибирская студенческая хоккейная лига""";Общественная организация;Новосибирская область;2014
"Межрегиональная общественная организация ""Содружество студентов и молодежи""";Общественная организация;Москва;2007
"Межрегиональная общественная организация ""Содружество студенческих педагогических отрядов""";Общественная организация;Московская область;2005
"Межрегиональная общественная организация ""Союз студентов и молодежи""";Общественная организация;Омская область;2005
"Межрегиональная общественная организация студенчества по трудоустройству ""Мередиан""";Общественная организация;Нижегородская область;2011
"Межрегиональная общественная организация ""Федерация студенческого конного спорта и любителей искусства верховой езды""";Общественная организация;Московская область;
"Межрегиональная общественная организация ""Штаб студенческих отрядов""";Общественная организация;Тульская область;2002
Межрегиональная профсоюзная общественная студенческая организация;Профессиональный союз;Москва;2009
"Межрегиональное общественной движение участников студенческих отрядов ""Студенческие отряды""";Общественная организация;Москва;
"Межрегиональный благотворительный студенческий общественный фонд инициативы и творчества молодежи ""Софит""";Некоммерческий фонд;Москва;2001
Межрегиональный общественный фонд выпускников, преподавателей, сотрудников и студентов Свердловского юридического института - Уральской государственной юридической академии;Общественный фонд;Свердловская область;2002
"Межрегиональный общественный фонд помощи студентам ""Новые времена""";Общественный фонд;Москва;2010
"""Межрегиональный профессиональный союз студентов и аспирантов Санкт-Петербургского государственного аграрного университета""";Профессиональный союз;Санкт-Петербург;2013
Местная Красноярская молодежная общественная организация студентов, изучающих экономику и управление;Общественная организация;Красноярский край;2008
Местная общественная организация - первичная профсоюзная организация сотрудников и студентов Московского государственного университета прикладной биотехнологии (МГУПБ)региональной общественной организации - Московской городской организации Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Москва;2003
Местная общественная организация - Первичная профсоюзная организация сотрудников и студентов Московского педагогического государственного университета (МПГУ) Региональной общественной организации - Московской городской организации Профсоюза работников народного образования и науки РФ;Профессиональный союз;Москва;2002
Местная общественная организация Первичная профсоюзная организация студентов Государственного бюджетного образовательного учреждения высшего профессионального образования Первого МГМУ им. И.М. Сеченова Минздравсоцразвития Российской Федерации Профессионального союза работников здравоохранения г. Москвы;Общественная организация;Москва;2012
Местная общественная организация - первичная профсоюзная организация студентов и апирантов Российского химико-технологического университета им.Д.И.Менделеева - региональной общественной организации - Московской городской организации Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Москва;
Местная общественная организация - первичная профсоюзная организация студентов и аспирантов Московского авиационного института Региональной общественной организации - Московской городской организации Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Москва;2002
"Местная общественная организация - первичная профсоюзная организация студентов и аспирантов федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Московского государственного университета печати имени Ивана Федорова"" Региональной общественной организации - Московской городской организации Профсоюза работников народного образования и науки Российской Федерации";Профессиональный союз;Москва;2003
Местная общественная организация – Первичная профсоюзная организация студентов Московского Государственного института радиотехники, электроники и автоматики (Технического Университета) Профессионального союза работников образования и науки г. Москвы;Профессиональный союз;Москва;2003
Местная общественная организация - Первичная профсоюзная организация студентов Московского государственного института стали и сплавов (МИСиС) Региональной общественной организации - Московской городской организации Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Москва;2003
